Year,NL - Male,PEI - Male,NS - Male,NB - Male,Que - Male,Ont - Male,Man - Male,Sask - Male,Alta - Male,BC - Male,YT - Male,NWT - Male,Nvt - Male,Out of Canada - Male,NL - Female,PEI - Female,NS - Female,NB - Female,Que - Female,Ont - Female,Man - Female,Sask - Female,Alta - Female,BC - Female,YT - Female,NWT - Female,Nvt - Female,Out of Canada - Female
2010,6067,1374,11808,7419,734,73007,5789,3908,14297,25015,111,138,45,770,4847,1448,10809,6777,724,84392,6728,4066,16552,29754,126,139,37,683
2011,5913,1380,11741,7383,718,73960,5819,3923,14770,25642,109,144,44,738,4888,1505,10965,6921,745,86175,6918,4147,17074,30716,140,149,39,670
2012,5764,1370,11615,7206,710,74159,5935,3966,15486,26365,121,149,45,701,4932,1525,11078,6950,734,86812,7036,4265,17830,31830,146,148,36,646
2013,5579,1363,11395,6946,701,73866,5902,3903,15733,26607,121,153,45,657,4953,1525,11161,6879,738,87184,7103,4313,18161,32320,152,157,39,616
2014,5390,1344,11045,6706,656,73403,5836,3847,15825,26513,128,152,44,609,4998,1512,11132,6815,742,87316,7120,4334,18278,32640,149,149,40,595
2015,5242,1373,10860,6564,628,73649,5784,3831,16125,26409,142,156,49,586,5028,1510,11202,6782,727,88349,7144,4370,18683,33066,149,156,41,586
2016,5063,1381,10744,6441,623,74107,5767,3856,16664,26493,146,158,56,546,5043,1555,11309,6763,734,89939,7118,4386,19225,33622,149,150,47,580
2017,4963,1379,10669,6396,641,73937,5763,3871,17460,26474,139,150,64,525,5101,1595,11425,6789,736,90900,7119,4438,19874,33843,153,150,55,571
2018,4919,1377,10560,6320,634,73655,5792,3946,18222,26283,137,154,66,514,5116,1660,11549,6836,741,91689,7135,4513,20757,34146,159,158,66,545
2019,4842,1365,10343,6221,633,72439,5758,3974,18508,25970,144,153,65,495,5118,1668,11548,6888,757,91381,7137,4535,21133,34115,161,156,69,521
2020,4728,1320,10044,6036,627,71069,5694,4021,18960,26129,144,149,69,462,5026,1631,11308,6806,749,90630,7054,4535,21655,34173,160,153,68,501
2021,4645,1250,9622,5883,612,69497,5670,4078,19582,26049,133,144,68,443,4919,1591,11000,6722,719,89966,7063,4639,22540,34442,166,157,70,475
2022,4542,1206,9278,5733,595,66526,5484,4016,19436,24996,133,142,71,424,4834,1555,10879,6701,689,87341,6965,4608,22659,33604,165,163,63,467
2023,4482,1142,8965,5601,588,63275,5276,3883,18842,23631,127,140,63,414,4777,1532,10601,6679,668,84161,6763,4525,22225,32182,158,153,57,455
